Model,F1_Mean,F1_Std,Recall_Mean,Recall_Std,Precision_Mean,ROC_AUC_Mean,PR_AUC_Mean
Baseline_LR,0.5614623991673172,0.11123582889254521,0.4421052631578948,0.1075411407458029,0.7779323671497584,0.8390016920473773,0.6496590506821311
CostSensitive_LR,0.4888226908226908,0.03876773031575159,0.7368421052631579,0.06962503450169973,0.36758857766132536,0.8273922770316038,0.6060369775871173
CostSensitive_LR_5x,0.4904892007707572,0.038709261242169085,0.7263157894736841,0.063376813572591,0.372065789656657,0.8268567318927993,0.6046624253291554
